date,user,text,Sentiment
2009-05-10 00:31:36,humanintersect,@foprof LOL.  Leave a kid on internet and the kid will do stupid things.,Negative
2009-06-02 23:23:28,iamericpham,eating cha with eric ,Positive
2009-06-02 21:30:06,YwalkWhenUcnFLY,"@StarJonesEsq On a good note, we DID meet at Marty Richards RED BALL a few years ago, you were so sweet to me I'll never forget it ",Positive
2009-06-18 07:01:32,Mr_Alien,My hands are officially tied. I don't think I'll have time for anything anymore  This includes the California meet ,Negative
2009-05-11 21:43:17,zombot,"@Konstantine I said &quot;scar,&quot; sweetie. ",Positive
2009-05-22 02:19:37,_vio_,@CamilleJ it was supposed to go live on tv but it didn't happened in the end  that would have been cool being on the bbc...,Negative
2009-05-17 10:49:45,Rasmussos,FCK-Brï¿½ndby 4-0! ,Positive
2009-06-18 12:32:19,themcflyoldies,@team_allen jealous!  I'm yet to find a local chinese i'm satisfied with ,Negative
2009-06-05 18:45:48,tanyanoel,@BayAreaCheap there r a few of us local yocals around  happy to find u on twitter 2day,Positive
2009-06-06 20:16:58,Doctor_Rob,"just back from SuperCheap - a most successful trip. The bikes are tanked &amp; checked for the week, so all ready to start relaxing ",Positive
2009-05-14 00:59:39,sparetyme,@ElleChanel want to shoot...but i'm not in charlotte .. ,Negative
2009-06-16 02:44:54,pechapanda,@sephrenia1982 good work ,Positive
2009-05-29 17:49:21,Boddingtons,@KingdomGuard welcome new cd out this week...maybe even tomorrow! ,Positive
2009-06-23 16:46:11,PRAYERWARRIORMA,@CatholicChicks hate bein on the phone that long ,Negative
2009-05-29 15:36:25,raphaelmalikian,"If anyone wanted to attend TEDMED but can't make the date, I'll happily take your place, and will live-blog it for you too ",Positive
2009-05-18 03:42:25,Geelong_FC,@melbgirl It means the same to us!  #GoCats,Positive
2009-05-31 11:55:25,Juliaw467,"beach this morning,bbq this afternoon. Back to school/work 2morro ",Positive
2009-05-10 06:13:32,Jass53,@joshlam and you are how old?? REALLY?!? ,Positive
2009-06-17 02:55:54,conceptdev,@bing siteowner custom search box fail... &quot;market&quot;:&quot;en-AU&quot; does nothing - it still targets US search   should be &quot;only from australia&quot;??,Negative
2009-06-06 16:30:39,Magmoman,Watched Crank 2.... awesome ,Positive
2009-06-15 23:30:17,RockIt_Man,@TheUncoolest ,Positive
2009-06-06 21:55:04,jodicobb,Night in with the rock star...  ,Positive
2009-05-30 07:02:50,stavsxx,@BATYASMUSIC Don't really have a reason.. haha sounds stupid. I'll be 14 ,Negative
2009-05-09 20:00:55,ksatt,first night in myers. just not the same w/out lydia!  but i'm actually excited about this summer! ,Positive
2009-06-23 11:31:48,wenckeo,"my tooth is sving, and I cannot see my dentist for a week ",Negative
2009-05-31 01:08:05,paulagutz2,cant sleep got heartburn really bad ,Negative
2009-06-06 03:32:13,playleimagery,Off to Whipsnade  Hope it's dry,Negative
2009-06-16 21:44:13,EvadaJsMomma,Going To Bed ...My Ankle Hurts ,Negative
2009-06-07 17:37:10,cindypar7,hates the fact she scanned the wrong passage in all those commentaries she was going to use for her essay ,Negative
2009-06-03 00:02:11,singingchicky,I shame the name of female  lol Alright. Shower then sleep then get up in like 5 hours.,Positive
2009-06-03 05:00:24,AnotherJulia,"@disil429 Fine. Kinders coughing again, so not a lot of sleep. Weather's good, though, that's the main thing ",Negative
2009-05-17 11:37:05,SarahStramel,Listening to the Nutcracker.  Who says it's only a Christmas thing?! ,Positive
2009-05-10 09:39:21,akaBeetroot,"i miss him, i cant wait to see him, im happy ",Negative
2009-06-05 17:41:34,nikechik,@tristanwilds are you missing me? i'm missing my tuesday nights of 90210 ,Negative
2009-06-07 19:27:50,lattojoyy,"@mithss mourniiiiiiing eh, morniiing!!! ",Positive
2009-04-21 01:51:27,konghee,@pamelaong Glad the blog helped ,Positive
2009-05-16 23:30:02,AlphaXi26,Awesome pumpkin! Your famous ,Positive
2009-06-06 21:58:48,Ragensi,"@ScarlettHarlott Sadly , I've never seen a single episode. I know , I'm fired , right? ",Negative
2009-05-29 01:19:53,SleepyJane,@LucasGo Haha. I will! o.O Hows you?  Long time no @ reply.,Positive
2009-04-06 22:35:40,Cherye101,"@PaulaAbdul awww, Good luck Paula!! Please don't work too hard  but I hope you have fun  Your new album is gonna be amazing!  xxx",Positive
2009-06-16 08:34:51,WAmarriage,Seattle PRIDE will be June 28th at 11am.  Come out and support your community! March with the marriage equality contingent! ,Positive
2009-05-29 15:54:31,ahmednaguib,"@Lujee seriosuly, the second one &quot;since I'm already a mid. class dude and would work for food&quot; ",Negative
2009-06-14 23:24:06,jeyjeylu,at school...listining to die Ãrzte - Westerland...great song really..btw i'm so tired...i sleeped between 02:30 and 05:30..thats bad ,Negative
2009-05-18 08:07:33,natalieavendano,I am so hungry  I hate not eating breakfast!,Negative
2009-06-17 20:29:42,allyd0124,ewww if i work at fazoli's i have to year a viser...and ugly shoes...and a pony tail...and no nail polish ,Negative
2009-06-06 01:09:42,Inyxia,@ZippyC NO. IT'S FULL OF WIN AND I LUV IT. &lt;3 I've been meaning to catch up to where it's at now for ages. NOW I HAVE. ,Negative
2009-05-30 07:55:49,caffeinebomb,Oft. As finished as I can be. Can I relax and be on holiday now? I think I've missed the acceptable slot for lunch. ,Positive
2009-05-29 19:42:58,snickers1015,@ItsNeet 100%.. its like getting an A for all your classes.. ,Positive
2009-05-18 07:09:24,mar_spain,"@seblefebvre Hi Seb! I'm a spanish fan of you.I'm addicted to SP and I think it's the best band in the world!please, come to spain early ",Positive
2009-05-30 12:41:07,mama_craft,Home from soccer. It's so hot out there today. We have retreated to the coolness of the basement. ,Positive
2009-06-01 04:49:53,monadetail,i have find my someone ,Negative
2009-06-07 14:14:58,FugaziPatrol,@marqueshouston We are the &quot;Fugazi Patrol&quot; &amp; our motto is &quot;If u see a clown point em out&quot; please let everyone know about us ,Positive
2009-06-02 00:54:35,isaytunnaa,it is ginormous... Haha well i  feel wierd talking about myy ziiiit  ta ta  good nightt,Positive
2009-06-07 17:59:14,Mel_Preston,I'm obsessed with twitting  haha,Positive
2009-05-04 04:28:34,uexpectme2talk,One interlock down one to go ,Negative
2009-06-18 19:22:16,glimmeringbethy,"ugh...summer colds are the worst, esp when you have a fever on top of this ridic humidity ",Negative
2009-06-07 14:45:03,RetroCringe,I miss Zack so much these days ,Negative
2009-06-05 20:58:42,notgoth007,@dbferguson I'm using an Asus. Forget which one at the moment since I don't have it near me.But my complaints are similar to yours. ,Positive
2009-06-01 23:30:45,LogomotiveMike,"@powersurf OH I've Got a case. I designed it. Someone idiot stole it and I can prove it. If they want to play hardball,I'm game. ",Negative
2009-05-29 01:05:16,emmaplowman,my thumb hurts after breaking the nail.... ,Negative
2009-06-02 01:37:00,Karen_theArtist,"@amymacdonald1 Congrats on the 4x platinum  It's a fantastic album, one of my favs",Positive
2009-05-31 04:48:37,oliviaa_m,"@JosephFrost Yeahh, that would be pretty awesome. ",Positive
2009-05-18 05:11:04,ehight,@benlizzotte so i think you should work for the discovery channel b/c then it would be media AND sharks! ,Positive
2009-04-19 06:32:32,FaeriBex,"@paddyrules home is mums house lol hm maddens could be a plan, am actually stone cold broke atm tho not even sure i could afford door fee ",Negative
2009-06-18 16:12:13,GiuliaNapo,@MandyyJirouxx that page doesn't exist ,Negative
2009-05-29 16:48:18,kentz,fighting a cold. ,Negative
2009-06-06 14:32:59,meimAsinglecell,@greeleyalex  aw im jealous! I miss home. I wish I could be home in CG right now! Watching spanish tv with my Gparents,Negative
2009-06-06 21:26:57,CaitEggers,@aleshacal my phone is dying  no charger here!,Negative
2009-05-03 08:15:50,SpiderTre,@mileycyrus Green Day new cd on the 15th and you on the 16th. woo!! ,Positive
2009-06-05 17:20:38,helloabi,my tv always freezes while i'm watching inbetweeners ,Positive
2009-05-17 23:09:44,b3lt3r,@softjunebreeze Ex-factor.... Me too ,Negative
2009-04-19 08:34:08,KaiRutlin, Back to school on Monday...Well I did get an iPod Touch. @shmuxel + @randomized180 See yah tomorrow then I guess ,Positive
2009-06-17 16:24:30,ChelseyFlood,@LisaAnneWest i missed it  have to catch up on sunday ohh ye so  fancy ldn on sunday? xoxo,Negative
2009-06-15 16:58:43,personified,tried to check out your site @poeticmindset ... not working ,Negative
2009-06-04 22:35:04,marchurtubise,Watching Wayne Dyer's new program on PBS &quot;Excuses Begone!&quot;. Lower mainlanders can check it out on ch. 27 or 204 on Shaw! Peace ,Positive
2009-06-07 21:02:16,jenjnyjen,pimples attack! Arghhhhhhhhh ,Negative
2009-06-20 20:32:07,alyssaanciro,"has to pack, stillll. and doesn't want to.. ",Negative
2009-06-06 18:54:23,Jadame_Tamuli,@snikkins How dare you get some before I have a chance to. You're no longer my friend ,Negative
2009-05-29 10:54:56,Emiaj20,"Can't stop listening to the clips of @Jonasbrothers new album Lines, Vines and Trying Times its so amazing can't wait for the whole thing ",Positive
2009-06-18 11:59:03,JDeyhle,about to pour in orlando ,Positive
2009-05-30 05:17:50,lostluna,"@carriecruz I know! I don't think they air it on any of the cable channels anymore, but you can download them from the net ",Negative
2009-06-07 17:53:02,carmenmg5,@AprAnaya  you will !   check the website so you can have an idea as to what product u want to try . I will sent u the email tomorrow ,Positive
2009-06-15 14:05:40,MollyMonochrome,@annieomnious    can it be fixed?  can we make a new simple one mayb?,Positive
2009-06-15 15:55:35,PinkBellaX,blÃ¤Ã¤ i have a headache ,Negative
2009-06-02 22:26:54,_mb79_,Has just joined Twitter.. It better be good! ,Positive
2009-06-07 10:19:20,kingyan,Where in Singapore do they sell Dujour? ,Negative
2009-06-16 12:28:43,Guidedtouch,"#iranelection The &quot;yellow Press&quot; is alive and well in the 21st century, how quickly we forget the USS Maine ",Positive
2009-06-15 22:27:48,BRohan77,haven't been on all day  went to bed late last night!,Negative
2009-06-07 09:39:23,curlydena,"where's all the rain we were supposed to have today? not complaining tho, it's lovely &amp; bright. very happy making ",Positive
2009-05-14 03:27:13,fellowcreative,"@claire_stokoe thank you, it only took me two minutes, thankfully the style of envirowise.gov.uk was already there for the taking ",Positive
2009-05-17 23:15:06,maddot13,ps: i think twitter sucks if you dont have free unlimited texts. ,Negative
2009-06-15 08:48:42,Nicksmylovebug,"@xDorkyStacy Ha! THAT SOUNDS SO WRONG STACY! lmao  i love you. and when I take one, I'll think of you too. haha, and on youtube. ",Positive
2009-06-03 05:10:09,NTyrer,@gwyn007 @waz7710    no no really its ok! u try em out and then u can see which works and doesnt  by that time its to late,Negative
2009-06-21 07:19:34,andreabee,Who else misses Parade the day incredibly much.. ,Negative
2009-06-03 07:31:07,Breedlo,I was caller number one. ,Positive
2009-06-01 22:23:18,allison6071,@StewartWade ditto!! Goodnight &amp; rest well!! Go play the lottery! I bought a ticket when I was n FL last week but no luck! ,Negative
2009-06-01 23:50:48,BiscuitKing,"Mornin every1! Hope all is well I'm your worlds. I'm not sure why I'm at work at 7:45 this mornin, but I guess Its not all bad ",Negative
2009-06-03 06:42:31,brumplum,should be going out but wants to stay put to participate in @RichardWiseman experiment - might have to do it by txt. (no photo part) ,Negative
2009-04-19 23:02:39,loucan,"If you can take criticism and blame without resentment, YOU'RE PROBABLY THE FAMILY DOG  see... http://jijr.com/hitZ cheers, Lou-ann",Positive
2009-05-04 06:22:24,Lisa107b,"@TeeMonster Sorry, I know I'm late responding (15hrs  timezone troubles) but I think you would need to load Audacity to your compy",Negative
2009-06-01 23:59:30,RichardLloyd18,History exam today and dreading it ,Negative
2009-06-16 19:28:23,SquarahFaggins,After seeing mr. benningfield tonight it really made me start to miss my vand family like hXc  i love you band geeks! &lt;3,Positive
2009-06-07 01:33:35,Jamie_Cheroske,Just downloaded a new Twitter app for my phone. So much better already. ,Positive
2009-06-07 09:02:01,daniel_myers,I seem to be making a habbit out of not falling asleep until very late ,Negative
2009-06-04 11:23:45,gelcock,There was a steady stream at my polling station mostly old folks surely they wouldn't vote for the fascists ... Are people that stupid? ,Positive
2009-06-20 18:08:50,alecialisten4,Missionaries had passport problems. Still havn't arrived  ya'll pray!,Negative
2009-05-02 23:39:51,shannonstone,had a very good night ,Positive
2009-05-31 11:03:41,jacobjoel,"Enjoying the morning just hanging out with Juliet in Victoria. She doesn't know it yet, but I'm taking her to see Il Divo tonight  #fb",Positive
2009-05-03 04:06:50,MikeAbundo,Off to the Miss Bikini Philippines pageant. Thanks to @veggiecircle for the ticket! ,Negative
2009-06-07 05:56:58,daily_ADAM_show,i'm going global .. ,Positive
2009-06-06 12:53:31,Luu_gon,They are gone .. ,Negative
2009-05-22 04:18:16,FranHearn,Friends with scott again ,Positive
2009-05-29 14:22:19,deniserostro,I think that my lovely brother @ScottyHolloway should take me and his lovely sister @Ho11y to Old Town for some dinn dinn &amp; margaritas ,Positive
2009-06-04 08:50:08,Ocalawriter,Roast in the cooker and cakes in the oven soon.  Good morning!  Hope everyone is well today ,Positive
2009-06-19 16:11:47,Pesandy,Wooo I picked my sister and I miss the empty house. ,Negative
2009-04-18 15:45:29,bryanarmada,@aleahhh season is almost done with babe ,Positive
2009-06-06 22:33:37,Duh_Kirsten,off to work    byeee xox,Positive
2009-05-30 13:57:15,Samantha_Mayy,@alexandramusic Diversity won! damnn i wanted flawless to win ,Positive
2009-06-19 23:23:39,BlackPurple4evr,printin stuff for my aunt. dont ask y its so late. i forgot 2 do it earlier. ,Negative
2009-05-03 00:03:03,jaziiandbrytt, can some one pleease tell me how to work out the total surface area of a square pyramid? ,Negative
2009-06-15 20:51:04,mizzoo76,@DENISE_RICHARDS love your hair  dont ever cut ur locks ,Positive
2009-05-30 02:57:26,MandyPandy32,@okse *Phew* Hate to think you and Colin had fallen out! Glad he's smiling for you. Hip Hip Hip Hooray!! ,Positive
2009-06-01 08:32:57,R_Boogie,@Dee_Dee_3 high low ,Negative
2009-06-15 13:17:33,Chocolatedonout,"And the motivation came!  yay! Not finished yet, but well on my way!  Gonna go finish it. xx",Positive
2009-05-22 05:26:16,laineybogs,Still cant get Jonas Bros tickets..dreading facing my niece later on ( I can see the tantrum now). Hope they put on another gig in Dublin ,Negative
2009-05-29 10:00:12,Sabrinagoh,"I though the clothes of AW0910 Collection from +9 designers will be there, together with the visual arts, but it is not ",Negative
2009-06-07 18:00:54,lostfoundpets,On schedule now to soft launch tomorrow evening - already have first customer - lost cat ,Negative
2009-06-02 04:37:35,QuelynnInc,&quot;Thank You [Lord] for reminding me to see myself the way You see me!&quot; ,Positive
2009-06-07 07:50:01,Emoly_,@CharlieeSimpson I Was Looking at an Old Poster From Busted The Other Day  You Had Really Short Hair And Everythng   Young Ta Old ,Positive
2009-06-20 09:23:40,lizzayyyyyy,"Ugh, so bored today! ",Negative
2009-06-06 19:54:45,NAYKIDD,home from a long day of work. i wore heels from 11am to 7pm. i must be crazy!! came right home to soak the feets. lol who wana rub em? ,Negative
2009-06-20 07:06:51,artalive,Still at work  This entire week has felt like an extremely long and awful Monday!,Negative
2009-06-18 06:42:26,Morfin,Upgraded iPhone to 3.0 but seem to have weaker link to tamu wireless ,Negative
2009-06-02 03:01:26,lioneris,morning twitterland...off to work i go ,Negative
2009-05-30 10:54:29,LarryWentz,@Debbiebarnhill I'm such a plantaholic.... I spent several thousand $s the last few years planting at my brothers lake cabin - he sold it ,Negative
2009-05-14 02:27:16,imabhi000,Trying to learn some &quot;PHOTOGRAPHY&quot; ,Positive
2009-05-29 19:55:25,AllanJYu,@KrisAllenmusic I'll be sure to vote for you in that competition.  A star with your name on it would go well with your Idol Trophy!,Positive
2009-06-07 03:53:27,VivinAlvernia,already miss baby donkey ,Negative
2009-06-17 05:53:33,timjeffries,@kpsomotragos I have it on good authority that we'll be getting it around 3am. ,Positive
2009-06-22 16:06:16,webwillie83,Just heard gun shots in my neighborhood!!! ,Negative
2009-05-29 01:24:58,NorCalStang,Just watched hella home movies with my aunt and uncle. I miss the days where our whole family got along ,Negative
2009-06-20 15:10:31,OneAndOnlyLia,I am sooo tired!! My eyes literally can't stay open ,Negative
2009-05-18 00:08:01,alyssakris,I hate word challenge on facebook! ,Positive
2009-05-30 22:51:18,kaweime,is sad she couldn't go out with her girls tonight  It's been too long....,Negative
2009-06-18 20:18:00,ms_xtine,PACKING SUCKS! i miss my Lee ,Negative
2009-06-01 17:01:58,pinkpartypanda,O how i love you sammoons  o how i do. ,Positive
2009-06-05 13:53:56,sawanm,"Wants a free doughnut, Krispy Kremes are so expensive, but 10 million times better than other doughnuts. ",Negative
2009-06-06 11:59:52,SarahisanEskimo,new phone  tattoo on monday! Woo.. just had tea. yummy.,Positive
2009-06-07 16:29:42,blueelectricity,waiting for my hoe to come back ,Positive
2009-06-02 04:54:55,oceanbreather,"i just cried a lot  im so over that all , and i cant hear it anymore...",Negative
2009-06-05 19:47:23,Jmiemrie,Trying to get on facebook!!! ,Negative
2009-06-25 07:49:40,maryroof,I want to post lol cats on here but I can't ,Negative
2009-06-15 20:39:08,DaveTaylor,@RobbieTaylor I have no comment about who won the game until this replay is completed. ,Positive
2009-04-18 20:31:57,chuckishere,Thank you everyone. I seriously am I lucky guy to have such great and lovely friends. Let's keep in touch  chuckishere.com at #LAX,Positive
2009-05-22 05:09:53,jho1273,friday gimmick in the office  but always looking forward for the weekend!,Positive
2009-06-15 07:52:01,carissacaricato,TALK meeting tonight at Tampa Chamber at 6pm with @WOMlinda as guest speaker on Word of Mouth Marketing! Happy Hour after @ Tinatapas ,Positive
2009-05-29 12:29:40,cowgirlupmz,successfully obtained  visa entries to enter  and stay in the Royal Kingdom of Thailand! ,Positive
2009-06-15 14:08:57,lanifotanixd,Downtown Disney ,Positive
2009-05-03 19:21:26,xTatii,missing my mom ,Negative
2009-06-05 15:47:36,theK_from_Paris,A little sad  pretty bad news and feel too much insecure about my playing.,Negative
2009-06-18 23:23:36,b_robbie,@HuniB oOhwee naw i just been chillin tryna get use to this new work schedule of having to be at wrk @ 7... ,Negative
2009-05-30 07:19:07,patriciannroque,@juzgalvez Hahaha! Don't be scared. They need fresh minds and you're it. ,Positive
2009-06-01 22:03:31,amelia9787,grandparents arrive tomorrow... good nite ,Positive
2009-06-16 06:12:36,thisismichelle,that was a good chat!  keep u posted guys...,Positive
2009-05-22 04:56:58,GarveyBen,@BrokenStruggle to much waffle &amp; not enough drinking going on. he's a less annoying version of numpty! &amp; he's not you which makes me ,Negative
2009-05-10 03:17:04,xsmiileyamii,@theclimbx3 i knooow  its the pizza girl episode xD &lt;3,Positive
2009-05-30 02:02:40,kurtsevits,"Random drunk girl sitting by my car: &quot;Is that your man bag?&quot;  Me: &quot;Yes, that's my man bag.&quot;  BTW, its name is Butch  ",Positive
2009-05-29 15:46:18,tina5b5,lots of cool ppl  ~~&gt; @actionchick @thewildjoker @walterdoc @JGDemas @amilya @williger  #followfriday,Positive
2009-06-01 04:29:29,LonleyAngle,Alright this is my debute twitt  yay lol,Positive
2009-05-10 08:42:04,unitechy,@Spitphyre girls i am outta it then  my exams,Positive
2009-06-20 01:30:37,MsPrissy101,Why do peep toe shoes hurt so bad ,Negative
2009-06-05 22:20:02,jbsibley,@Alyssa_Milano do celebs get more characters than the rest of us? ,Positive
2009-06-01 07:23:27,NANCY___,need to charge my mac... ,Negative
2009-05-31 19:15:12,LadyCouture48,Keyshia cole loves bebe too!!! ,Positive
2009-06-19 03:32:33,LucyPersonal,@dstarr I want my bed  x,Negative
2009-04-18 22:12:37,NaniWaialeale,"Dang it....BRB....have to get the cake, candles and ice cream out and sing happy birthday to my niece. Sweet 16 ",Positive
2009-05-17 02:10:32,amatecha,"@StiffValentine Olympus E-410.  Besides the recent digital lenses, I also got an old 50mm OM lens which mounts via a simple adapter.  ",Positive
2009-04-19 09:55:06,candisleigh,"is going to watch the brewer game, eat soup, play sims and sit in a vaporizer filled room. stupid cold. this sucks. ",Negative
2009-05-29 14:38:29,vlvalle,Hmmm.... My whole body feels sore! ,Negative
2009-05-31 13:32:43,Lali9,@Venyadosae I'm sooo happy you'll get to re-take penguin pics! I collect penguin stuff and am a penguin FREAK! Can't wait to see ,Positive
2009-06-19 18:15:47,enia59,"My server has been going down lots lately, it makes me a sad WoW player  lol",Negative
2009-05-18 00:10:38,CBernos,how would you feel if @taylorswift13 was in a GoBernos video? eh eh ,Positive
2009-05-22 04:26:41,technicalfault,"@timdifford cheers, I spotted that - couldn't find it on the App Store though ",Positive
2009-05-04 03:21:57,MellyFed,sore throat ,Negative
2009-06-03 04:44:14,rosieroserosie,He'd go anywhere with me ,Negative
2009-05-30 07:29:13,Pepperfire,@LexiePixie your tarot twreading is next. ,Positive
2009-06-05 17:59:36,applexlove,@Bowl_the_Bunny lol love how we put some in stars: *some* haha...*crosses fingers* i hope you get more ,Positive
2009-06-06 14:07:56,sashamaemo,This tea taste like pure WATER!!!  Yuck!,Negative
2009-06-17 08:28:46,evajaybird6,sad that it's not my birthday anymore and that my balloon is deflating ,Negative
2009-06-19 10:02:39,alias452,"Great to get bk online, my own net was down ",Negative
2009-05-10 06:18:13,JoJo8304,St Andrews is scaring me. ,Negative
2009-05-30 10:05:42,Johnny_kah,Finally done work YAY ,Positive
2009-06-17 20:14:14,qteepye1481,@DTatStar not nice  lol,Positive
2009-05-29 19:10:13,jabarijamison,i aint alive....im just breathing to death ,Negative
2009-06-05 21:52:31,jamieallison,Sorry you missed it. Good night! ,Negative
2009-05-17 12:02:34,LillieTheTiger,oopss did that twice  D: im such a silly moo.,Positive
2009-06-06 13:41:09,bethanxo,"@acj525 mummmmmmmmmmm,  can you put the pizza in the oven ",Positive
2009-06-02 03:39:43,B_smak,@ibbypop haha yeeahh yeahh you know its only till 2:30 so its not too bad! ,Negative
2009-06-18 15:56:51,Stubbs,@Jagusti shit! I thought it was months away  I'm not in Sheffield this weekend ,Negative
2009-06-01 20:37:03,Spitphyre,@Shadez mmm...i wouldn't mind li'l Katy's either.. ,Positive
2009-06-02 01:18:52,willnotshutup,On a JEW mood. Downloading Futures. Chase the Light naman mamaya. Haha. ,Positive
2009-05-09 22:56:30,KrisStepney,Wishes @kirstiealley a Happy Mother's Day! ,Positive
2009-06-20 06:51:11,Pittsburgurl,"More rain due, ugh, going to a graduation today and was hoping the kids could go swimming ",Negative
2009-04-19 03:50:14,SodaSipperzx3,woke up early today...dont wanna go to school tomorrow... ,Negative
2009-06-25 04:10:25,xqjonah,I can't seem to fall asleep tonight ,Negative
2009-06-07 11:35:15,eskimoi,"#EU09 In 5 years we need a best coverage. World, take a look here, yes, here, Europe is moving ",Positive
2009-06-16 07:04:45,ChristinaRenee2,That should give you happy thoughts ,Positive
2009-06-21 08:38:00,katecrist,@monzongo2009 OH NO!!!  Get well soon   I'm trying to get well myself in the midst of Merola.  Sending you virtual antibiotics ,Negative
2009-06-17 06:07:34,saandylaw,Dam texts woke me up ,Negative
2009-06-06 10:58:15,amazinglaurie,"I could seriously go back to sleep  working 3-11 tonight w/ mitch...but toni won't be there...it's not the same, but i hope it's fun! ilu!",Negative
2009-05-02 05:12:22,yaseminx3,eatin an icecream ,Positive
2009-06-01 17:52:24,SomMetroMan,"@FifthSenseNYC I'll be giving the Mark Birley a wear later this week, even though I'm not a &quot;quiet man&quot;. ",Negative
2009-05-31 10:37:46,fobpatdcsgchtai,happy birthday to andy hurley ,Positive
2009-05-30 11:22:25,smore98,Hangin with my bestie suzi ,Positive
2009-05-29 15:52:07,julierocks78," FML.. today sucks.. i just hope the dance will bring my soul up.. i pray, but im still sad..i hateee todayyyyyy!!! &gt;;(",Negative
